genres,id,keywords,overview,popularity,release_date,runtime,status,title,vote_average,vote_count,actors,director,metadata_soup,weight_rating
"[12, 14, 28, 878]",1452,"[83, 849, 8872, 9663, 9715, 9717, 163420, 163455, 179102, 202526]","Superman returns to discover his 5-year absence has allowed Lex Luthor to walk free, and that those he was closest too felt abandoned and have moved on. Luthor plots his ultimate revenge that could see millions killed and change the face of the planet forever, as well as ridding himself of the Man of Steel.",0.06615676085043867,2006-06-28,154.0,Released,Superman Returns,5.4,1400,"['17271', '1979', '7517', '11006', '7489', '8924', '53492', '2639', '3084', '53493']",Bryan Singer,key83 key849 key8872 key9663 key9715 key9717 key163420 key163455 key179102 key202526 gen12 gen14 gen28 gen878 act17271 act1979 act7517  bryansinger,5.41
"[12, 28, 53, 80]",10764,"[627, 1568, 4289, 156095]","Quantum of Solace continues the adventures of James Bond after Casino Royale. Betrayed by Vesper, the woman he loved, 007 fights the urge to make his latest mission personal. Pursuing his determination to uncover the truth, Bond and M interrogate Mr. White, who reveals that the organization that blackmailed Vesper is far more complex and dangerous than anyone had imagined.",0.12326532143122904,2008-10-30,106.0,Released,Quantum of Solace,6.1,2965,"['8784', '18182', '8789', '5309', '3753', '59620', '2954', '35029', '2244', '62892']",Marc Forster,key627 key1568 key4289 key156095 gen12 gen28 gen53 gen80 act8784 act18182 act8789  marcforster,6.1
"[12, 14, 28]",58,"[616, 663, 910, 911, 1299, 1316, 1317, 1319, 1461, 3799, 5600, 12988, 157186, 179430]","Captain Jack Sparrow works his way out of a blood debt with the ghostly Davey Jones, he also attempts to avoid eternal damnation.",0.1665720569490688,2006-06-20,151.0,Released,Pirates of the Caribbean: Dead Man's Chest,7.0,5246,"['85', '114', '116', '1640', '2440', '1709', '2449', '378', '1710', '1711']",Gore Verbinski,key616 key663 key910 key911 key1299 key1316 key1317 key1319 key1461 key3799 key5600 key12988 key157186 key179430 gen12 gen14 gen28 act85 act114 act116  goreverbinski,7.0
"[28, 12, 37]",57201,"[1556, 2673, 5385, 5901, 9104, 9503, 10685, 10909, 13008, 178867, 179419, 222787, 228232]","The Texas Rangers chase down a gang of outlaws led by Butch Cavendish, but the gang ambushes the Rangers, seemingly killing them all. One survivor is found, however, by an American Indian named Tonto, who nurses him back to health. The Ranger, donning a mask and riding a white stallion named Silver, teams up with Tonto to bring the unscrupulous gang and others of that ilk to justice.",0.05601644955176378,2013-07-03,149.0,Released,The Lone Ranger,5.9,2311,"['85', '53807', '886', '1283', '18473', '207', '47720', '12834', '22063', '583040']",Gore Verbinski,key1556 key2673 key5385 key5901 key9104 key9503 key10685 key10909 key13008 key178867 key179419 key222787 key228232 gen28 gen12 gen37 act85 act53807 act886  goreverbinski,5.9
"[28, 12, 14, 878]",49521,"[83, 849, 9715, 9717, 10761, 14909, 161184, 163455, 229266]","A young boy learns that he has extraordinary powers and is not of this earth. As a young man, he journeys to discover where he came from and what he was sent here to do. But the hero in him must emerge if he is to save the world from annihilation and become the symbol of hope for all mankind.",0.1135223061894863,2013-06-12,143.0,Released,Man of Steel,6.5,6359,"['73968', '9273', '335', '1269', '2882', '934', '2975', '43202', '22227', '213049']",Zack Snyder,key83 key849 key9715 key9717 key10761 key14909 key161184 key163455 key229266 gen28 gen12 gen14 gen878 act73968 act9273 act335  zacksnyder,6.5
"[12, 10751, 14]",2454,"[818, 855, 1155, 2043, 3714, 4391, 4820, 5144, 6150, 6464, 166930, 170362]","One year after their incredible adventures in the Lion, the Witch and the Wardrobe, Peter, Edmund, Lucy and Susan Pevensie return to Narnia to aid a young prince whose life has been threatened by the evil King Miraz. Now, with the help of a colorful cast of new characters, including Trufflehunter the badger and Nikabrik the dwarf, the Pevensie clan embarks on an incredible quest to ensure that Narnia is returned to its rightful heir.",0.06164887451542835,2008-05-15,150.0,Released,The Chronicles of Narnia: Prince Caspian,6.3,1630,"['25130', '5528', '5529', '5527', '5526', '2166', '25132', '22970', '11184', '25133']",Andrew Adamson,key818 key855 key1155 key2043 key3714 key4391 key4820 key5144 key6150 key6464 key166930 key170362 gen12 gen10751 gen14 act25130 act5528 act5529  andrewadamson,6.3
"[878, 28, 12]",24428,"[242, 5539, 8828, 9715, 9717, 14909, 155030, 179430, 179431, 180547]","When an unexpected enemy emerges and threatens global safety and security, Nick Fury, director of the international peacekeeping agency known as S.H.I.E.L.D., finds himself in need of a team to pull the world back from the brink of disaster. Spanning the globe, a daring recruitment effort begins!",0.16497455139246034,2012-04-25,143.0,Released,The Avengers,7.4,11776,"['3223', '16828', '103', '74568', '1245', '17604', '91606', '9048', '71189', '1640']",Joss Whedon,key242 key5539 key8828 key9715 key9717 key14909 key155030 key179430 key179431 key180547 gen878 gen28 gen12 act3223 act16828 act103  josswhedon,7.4
"[12, 28, 14]",1865,"[658, 1316, 1860, 1938, 2569, 3180, 3625, 3799, 4235, 5938, 12988, 13065, 14643, 157186, 179430, 209714]","Captain Jack Sparrow crosses paths with a woman from his past, and he's not sure if it's love -- or if she's a ruthless con artist who's using him to find the fabled Fountain of Youth. When she forces him aboard the Queen Anne's Revenge, the ship of the formidable pirate Blackbeard, Jack finds himself on an unexpected adventure in which he doesn't know who to fear more: Blackbeard or the woman from his past.",0.15465594711390052,2011-05-14,136.0,Released,Pirates of the Caribbean: On Stranger Tides,6.4,4948,"['85', '955', '6972', '2449', '118', '237455', '469759', '1115', '4031', '1712']",Rob Marshall,key658 key1316 key1860 key1938 key2569 key3180 key3625 key3799 key4235 key5938 key12988 key13065 key14643 key157186 key179430 key209714 gen12 gen28 gen14 act85 act955 act6972  robmarshall,6.4
"[28, 35, 878]",41154,"[4379, 5455, 9951, 174915, 185668, 208756]","Agents J (Will Smith) and K (Tommy Lee Jones) are back...in time. J has seen some inexplicable things in his 15 years with the Men in Black, but nothing, not even aliens, perplexes him as much as his wry, reticent partner. But when K's life and the fate of the planet are put at stake, Agent J will have to travel back in time to put things right. J discovers that there are secrets to the universe that K never told him - secrets that will reveal themselves as he teams up with the young Agent K (Josh Brolin) to save his partner, the agency, and the future of humankind.",0.059429294233275115,2012-05-23,106.0,Released,Men in Black 3,6.2,4160,"['2888', '2176', '16851', '72873', '7056', '55936', '151246', '59860', '19278', '87070']",Barry Sonnenfeld,key4379 key5455 key9951 key174915 key185668 key208756 gen28 gen35 gen878 act2888 act2176 act16851  barrysonnenfeld,6.2
"[28, 12, 14]",122917,"[417, 603, 604, 606, 609, 611, 12554, 14643, 167982, 188270, 234213]","Immediately after the events of The Desolation of Smaug, Bilbo and the dwarves try to defend Erebor's mountain of treasure from others who claim it: the men of the ruined Laketown and the elves of Mirkwood. Meanwhile an army of Orcs led by Azog the Defiler is marching on Erebor, fueled by the rise of the dark lord Sauron. Dwarves, elves and men must unite, and the hope for Middle-Earth falls into Bilbo's hands.",0.13815478049751187,2014-12-10,144.0,Released,The Hobbit: The Battle of the Five Armies,7.1,4760,"['7060', '1327', '30315', '25136', '95047', '67123', '34715', '1193834', '152566', '207558']",Peter Jackson,key417 key603 key604 key606 key609 key611 key12554 key14643 key167982 key188270 key234213 gen28 gen12 gen14 act7060 act1327 act30315  peterjackson,7.1
"[28, 12, 14]",1930,"[1872, 7002, 8803, 8828, 156855, 158124, 158456, 161184, 163455, 163561, 171556, 179431]","Peter Parker is an outcast high schooler abandoned by his parents as a boy, leaving him to be raised by his Uncle Ben and Aunt May. Like most teenagers, Peter is trying to figure out who he is and how he got to be the person he is today. As Peter discovers a mysterious briefcase that belonged to his father, he begins a quest to understand his parents' disappearance – leading him directly to Oscorp and the lab of Dr. Curt Connors, his father's former partner. As Spider-Man is set on a collision course with Connors' alter ego, The Lizard, Peter will make life-altering choices to use his powers and shape his destiny to become a hero.",0.10263612926271878,2012-06-27,136.0,Released,The Amazing Spider-Man,6.5,6586,"['37625', '54693', '7026', '5724', '55152', '76793', '8349', '35', '558928', '231547']",Marc Webb,key1872 key7002 key8803 key8828 key156855 key158124 key158456 key161184 key163455 key163561 key171556 key179431 gen28 gen12 gen14 act37625 act54693 act7026  marcwebb,6.5
"[28, 12]",20662,"[4147, 4393, 10466, 11525, 18101, 41406, 161257, 186686]","When soldier Robin happens upon the dying Robert of Loxley, he promises to return the man's sword to his family in Nottingham. There, he assumes Robert's identity; romances his widow, Marion; and draws the ire of the town's sheriff and King John's henchman, Godfrey.",0.04302090597971367,2010-05-12,140.0,Released,Robin Hood,6.2,1398,"['934', '112', '2201', '227', '2983', '25072', '6413', '20300', '13633', '15576']",Ridley Scott,key4147 key4393 key10466 key11525 key18101 key41406 key161257 key186686 gen28 gen12 act934 act112 act2201  ridleyscott,6.2
"[12, 14]",57158,"[603, 604, 606, 611, 12554, 177912, 234213]","The Dwarves, Bilbo and Gandalf have successfully escaped the Misty Mountains, and Bilbo has gained the One Ring. They all continue their journey to get their gold back from the Dragon, Smaug.",0.10778046934202187,2013-12-11,161.0,Released,The Hobbit: The Desolation of Smaug,7.6,4524,"['7060', '1327', '30315', '25136', '95047', '67123', '34715', '1193834', '152566', '207558']",Peter Jackson,key603 key604 key606 key611 key12554 key177912 key234213 gen12 gen14 act7060 act1327 act30315  peterjackson,7.6
"[12, 14]",2268,"[392, 1461, 1706, 2596, 6464, 6678, 13014, 18165, 223438]","After overhearing a shocking secret, precocious orphan Lyra Belacqua trades her carefree existence roaming the halls of Jordan College for an otherworldly adventure in the far North, unaware that it's part of her destiny.",0.04909984458839034,2007-12-04,113.0,Released,The Golden Compass,5.8,1303,"['45589', '2227', '8784', '16431', '10912', '1281', '1327', '45585', '6972', '5470']",Chris Weitz,key392 key1461 key1706 key2596 key6464 key6678 key13014 key18165 key223438 gen12 gen14 act45589 act2227 act8784  chrisweitz,5.8
"[12, 18, 28]",254,"[774, 776, 837, 886, 887, 911, 1299, 1551, 3799, 12616]","In 1933 New York, an overly ambitious movie producer coerces his cast and hired ship crew to travel to mysterious Skull Island, where they encounter Kong, a giant ape who is immediately smitten with the leading lady.",0.06992612753420997,2005-12-14,187.0,Released,King Kong,6.6,2337,"['3489', '70851', '3490', '3491', '3492', '1333', '3493', '478', '3494', '3495']",Peter Jackson,key774 key776 key837 key886 key887 key911 key1299 key1551 key3799 key12616 gen12 gen18 gen28 act3489 act70851 act3490  peterjackson,6.6
"[18, 10749, 53]",597,"[2580, 2984, 3799, 4210, 4388, 4953, 6917, 7579, 9673, 10617, 10703, 14514, 156395, 165086, 182615, 182621, 182625, 209714, 210184]","84 years later, a 101-year-old woman named Rose DeWitt Bukater tells the story to her granddaughter Lizzy Calvert, Brock Lovett, Lewis Bodine, Bobby Buell and Anatoly Mikailavich on the Keldysh about her life set in April 10th 1912, on a ship called Titanic when young Rose boards the departing ship with the upper-class passengers and her mother, Ruth DeWitt Bukater, and her fiancé, Caledon Hockley. Meanwhile, a drifter and artist named Jack Dawson and his best friend Fabrizio De Rossi win third-class tickets to the ship in a game. And she explains the whole story from departure until the death of Titanic on its first and last voyage April 15th, 1912 at 2:20 in the morning.",0.11423941834847649,1997-11-18,194.0,Released,Titanic,7.5,7562,"['204', '6193', '3713', '1954', '8534', '8535', '2053', '1369', '2076', '8536']",James Cameron,key2580 key2984 key3799 key4210 key4388 key4953 key6917 key7579 key9673 key10617 key10703 key14514 key156395 key165086 key182615 key182621 key182625 key209714 key210184 gen18 gen10749 gen53 act204 act6193 act3713  jamescameron,7.5
"[12, 28, 878]",271110,"[393, 6091, 8828, 9663, 9715, 9717, 156395, 179430, 179431, 180547, 209714]","Following the events of Age of Ultron, the collective governments of the world pass an act designed to regulate all superhuman activity. This polarizes opinion amongst the Avengers, causing two factions to side with Iron Man or Captain America, which causes an epic battle between former allies.",0.2265607932321031,2016-04-27,147.0,Released,Captain America: Civil War,7.1,7241,"['16828', '3223', '1245', '60898', '53650', '1896', '17604', '172069', '6162', '550843']",Anthony Russo,key393 key6091 key8828 key9663 key9715 key9717 key156395 key179430 key179431 key180547 key209714 gen12 gen28 gen878 act16828 act3223 act1245  anthonyrusso,7.1
"[53, 28, 12, 878]",44833,"[1721, 4410, 11265, 12354, 13042, 14760, 14946, 160855, 160856, 160860, 160861, 160865, 160866, 160868, 160873, 160875, 160876, 160879, 160880, 160881, 160884, 160885, 160887, 179430, 227328, 227329]","When mankind beams a radio signal into space, a reply comes from ‘Planet G’, in the form of several alien crafts that splash down in the waters off Hawaii. Lieutenant Alex Hopper is a weapons officer assigned to the USS John Paul Jones, part of an international naval coalition which becomes the world's last hope for survival as they engage the hostile alien force of unimaginable strength. While taking on the invaders, Hopper must also try to live up to the potential his brother, and his fiancée's father, Admiral Shane, expect of him.",0.0741546006398572,2012-04-11,131.0,Released,Battleship,5.5,2114,"['60900', '28846', '131519', '131520', '13275', '3896', '1052162', '184581', '88124', '205406']",Peter Berg,key1721 key4410 key11265 key12354 key13042 key14760 key14946 key160855 key160856 key160860 key160861 key160865 key160866 key160868 key160873 key160875 key160876 key160879 key160880 key160881 key160884 key160885 key160887 key179430 key227328 key227329 gen53 gen28 gen12 gen878 act60900 act28846 act131519  peterberg,5.5
"[28, 12, 878, 53]",135397,"[1299, 1718, 1720, 1766, 2041, 9663, 9937, 10617, 10685, 12616, 155582, 158130, 158340, 178010, 209714, 223059]","Twenty-two years after the events of Jurassic Park, Isla Nublar now features a fully functioning dinosaur theme park, Jurassic World, as originally envisioned by John Hammond.",0.47820636371398995,2015-06-09,124.0,Released,Jurassic World,6.5,8662,"['73457', '18997', '76793', '7132', '1108907', '17181', '543505', '78423', '14592', '20750']",Colin Trevorrow,key1299 key1718 key1720 key1766 key2041 key9663 key9937 key10617 key10685 key12616 key155582 key158130 key158340 key178010 key209714 key223059 gen28 gen12 gen878 gen53 act73457 act18997 act76793  colintrevorrow,6.5
"[28, 12, 53]",37724,"[470, 4289, 9740, 15127, 15478, 156095, 156345, 156395, 159932, 163841, 185071, 185077]","When Bond's latest assignment goes gravely wrong and agents around the world are exposed, MI6 is attacked forcing M to relocate the agency. These events cause her authority and position to be challenged by Gareth Mallory, the new Chairman of the Intelligence and Security Committee. With MI6 now compromised from both inside and out, M is left with one ally she can trust: Bond. 007 takes to the shadows - aided only by field agent, Eve - following a trail to the mysterious Silva, whose lethal and hidden motives have yet to reveal themselves.",0.10622085289954883,2012-10-25,143.0,Released,Skyfall,6.9,7604,"['8784', '5309', '3810', '5469', '2038', '1030261', '3926', '17064', '139549', '11045']",Sam Mendes,key470 key4289 key9740 key15127 key15478 key156095 key156345 key156395 key159932 key163841 key185071 key185077 gen28 gen12 gen53 act8784 act5309 act3810  sammendes,6.9
"[28, 12, 14]",558,"[851, 2038, 5983, 8828, 9663, 9715, 13005, 14760, 14991, 34079, 163074]","Peter Parker is going through a major identity crisis. Burned out from being Spider-Man, he decides to shelve his superhero alter ego, which leaves the city suffering in the wake of carnage left by the evil Doc Ock. In the meantime, Parker still can't act on his feelings for Mary Jane Watson, a girl he's loved since childhood.",0.04014428562976227,2004-06-25,127.0,Released,Spider-Man 2,6.7,4321,"['2219', '205', '17051', '658', '18998', '2517', '18999', '19154', '19152', '5293']",Sam Raimi,key851 key2038 key5983 key8828 key9663 key9715 key13005 key14760 key14991 key34079 key163074 gen28 gen12 gen14 act2219 act205 act17051  samraimi,6.7
"[28, 12, 878]",68721,"[949, 5597, 6335, 8613, 8828, 9715, 9717, 12555, 173776, 179430, 180547, 188721, 209714, 209748, 209822, 209823]","When Tony Stark's world is torn apart by a formidable terrorist called the Mandarin, he starts an odyssey of rebuilding and retribution.",0.0887205786103439,2013-04-18,130.0,Released,Iron Man 3,6.8,8806,"['3223', '12052', '1896', '529', '15556', '15277', '2282', '18473', '121953', '6162']",Shane Black,key949 key5597 key6335 key8613 key8828 key9715 key9717 key12555 key173776 key179430 key180547 key188721 key209714 key209748 key209822 key209823 gen28 gen12 gen878 act3223 act12052 act1896  shaneblack,6.8
"[10751, 14, 12]",12155,"[818, 855, 2011, 2486, 12552, 170362, 209714]","Alice, an unpretentious and individual 19-year-old, is betrothed to a dunce of an English nobleman. At her engagement party, she escapes the crowd to consider whether to go through with the marriage and falls down a hole in the garden after spotting an unusual rabbit. Arriving in a strange and surreal place called 'Underland,' she finds herself in a world that resembles the nightmares she had as a child, filled with talking animals, villainous queens and knights, and frumious bandersnatches. Alice realizes that she is there for a reason – to conquer the horrific Jabberwocky and restore the rightful queen to her throne.",0.08968910659872986,2010-03-03,108.0,Released,Alice in Wonderland,6.4,4645,"['76070', '85', '1813', '1283', '1064', '20982', '30083', '26209', '11855', '11276']",Tim Burton,key818 key855 key2011 key2486 key12552 key170362 key209714 gen10751 gen14 gen12 act76070 act85 act1813  timburton,6.4
"[12, 28, 878, 53]",36668,"[1852, 8828, 9717, 10761, 161271, 161893, 179430]","When a cure is found to treat mutations, lines are drawn amongst the X-Men and The Brotherhood, a band of powerful mutants organized under Xavier's former ally, Magneto.",0.004405674239469971,2006-05-24,104.0,Released,X-Men: The Last Stand,6.3,3525,"['6968', '4587', '1327', '2387', '10696', '10690', '7090', '11023', '11022', '27578']",Brett Ratner,key1852 key8828 key9717 key10761 key161271 key161893 key179430 gen12 gen28 gen878 gen53 act6968 act4587 act1327  brettratner,6.3
"[16, 10751]",62211,"[1299, 5984, 6186, 10336, 12392, 13160, 163303, 179430]",A look at the relationship between Mike and Sulley during their days at Monsters University — when they weren't necessarily the best of friends.,0.10185974904980412,2013-06-20,104.0,Released,Monsters University,7.0,3528,"['7904', '1230', '884', '15735', '1271300', '21198', '155649', '52601', '21290', '95101']",Dan Scanlon,key1299 key5984 key6186 key10336 key12392 key13160 key163303 key179430 gen16 gen10751 act7904 act1230 act884  danscanlon,7.0
"[878, 28, 12]",8373,"[1160, 1670, 4630, 8264, 9854, 10607, 11117, 14544, 156395, 179431]","Sam Witwicky leaves the Autobots behind for a normal life. But when his mind is filled with cryptic symbols, the Decepticons target him and he is dragged back into the Transformers' war.",0.025057253820648898,2009-06-19,150.0,Released,Transformers: Revenge of the Fallen,6.0,3138,"['10959', '19537', '19536', '11678', '8169', '1241', '14721', '24305', '72985', '103554']",Michael Bay,key1160 key1670 key4630 key8264 key9854 key10607 key11117 key14544 key156395 key179431 gen878 gen28 gen12 act10959 act19537 act19536  michaelbay,6.0
"[878, 28, 12]",91314,"[9663, 9951, 10607, 10891, 14544, 156395, 166594]","As humanity picks up the pieces, following the conclusion of ""Transformers: Dark of the Moon,"" Autobots and Decepticons have all but vanished from the face of the planet. However, a group of powerful, ingenious businessman and scientists attempt to learn from past Transformer incursions and push the boundaries of technology beyond what they can control - all while an ancient, powerful Transformer menace sets Earth in his cross-hairs.",0.13344311411491364,2014-06-25,165.0,Released,Transformers: Age of Extinction,5.8,3095,"['13240', '2283', '7090', '61186', '1007683', '39389', '3971', '109432', '51990', '204100']",Michael Bay,key9663 key9951 key10607 key10891 key14544 key156395 key166594 gen878 gen28 gen12 act13240 act2283 act7090  michaelbay,5.8
"[14, 12, 10751]",68728,"[291, 616, 2343, 3929, 4662, 44451, 172365, 177912, 209714]","Oscar Diggs, a small-time circus illusionist and con-artist, is whisked from Kansas to the Land of Oz where the inhabitants assume he's the great wizard of prophecy, there to save Oz from the clutches of evil.",0.05366200115476426,2013-03-07,130.0,Released,Oz: The Great and Powerful,5.7,3530,"['17051', '18973', '3293', '1812', '5367', '8854', '125025', '19754', '224723', '123725']",Sam Raimi,key291 key616 key2343 key3929 key4662 key44451 key172365 key177912 key209714 gen14 gen12 gen10751 act17051 act18973 act3293  samraimi,5.7
"[28, 12, 14]",102382,"[1523, 8828, 9663, 9717, 13040, 33977, 41594, 163455]","For Peter Parker, life is busy. Between taking out the bad guys as Spider-Man and spending time with the person he loves, Gwen Stacy, high school graduation cannot come quickly enough. Peter has not forgotten about the promise he made to Gwen’s father to protect her by staying away, but that is a promise he cannot keep. Things will change for Peter when a new villain, Electro, emerges, an old friend, Harry Osborn, returns, and Peter uncovers new clues about his past.",0.10195537123762595,2014-04-16,142.0,Released,The Amazing Spider-Man 2,6.5,4179,"['37625', '54693', '134', '122889', '55152', '6368', '10132', '13242', '35', '558928']",Marc Webb,key1523 key8828 key9663 key9717 key13040 key33977 key41594 key163455 gen28 gen12 gen14 act37625 act54693 act134  marcwebb,6.5
